app_id,game_name,player_count,timestamp,day_of_week,day_name,hour_of_day,date_only
440,Team Fortress 2,35504,2025-09-17 23:12:20.072552+00,3,Wednesday,23,2025-09-17 00:00:00+00
271590,GTA V,36492,2025-09-17 23:12:20.074241+00,3,Wednesday,23,2025-09-17 00:00:00+00
570,Dota 2,436437,2025-09-17 23:12:20.07967+00,3,Wednesday,23,2025-09-17 00:00:00+00
440,Team Fortress 2,35504,2025-09-17 23:17:20.017256+00,3,Wednesday,23,2025-09-17 00:00:00+00
730,Counter-Strike 2,733835,2025-09-17 23:17:20.019505+00,3,Wednesday,23,2025-09-17 00:00:00+00
271590,GTA V,36492,2025-09-17 23:17:20.020142+00,3,Wednesday,23,2025-09-17 00:00:00+00
570,Dota 2,436437,2025-09-17 23:17:20.047385+00,3,Wednesday,23,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3137,2025-09-17 23:17:20.074583+00,3,Wednesday,23,2025-09-17 00:00:00+00
570,Dota 2,429978,2025-09-17 23:22:20.140858+00,3,Wednesday,23,2025-09-17 00:00:00+00
730,Counter-Strike 2,713976,2025-09-17 23:22:20.141791+00,3,Wednesday,23,2025-09-17 00:00:00+00
440,Team Fortress 2,35504,2025-09-17 23:22:20.143716+00,3,Wednesday,23,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3137,2025-09-17 23:22:20.147025+00,3,Wednesday,23,2025-09-17 00:00:00+00
271590,GTA V,35719,2025-09-17 23:22:20.16152+00,3,Wednesday,23,2025-09-17 00:00:00+00
730,Counter-Strike 2,713976,2025-09-17 23:27:20.177813+00,3,Wednesday,23,2025-09-17 00:00:00+00
570,Dota 2,429978,2025-09-17 23:27:20.179733+00,3,Wednesday,23,2025-09-17 00:00:00+00
271590,GTA V,35719,2025-09-17 23:27:20.182398+00,3,Wednesday,23,2025-09-17 00:00:00+00
440,Team Fortress 2,35659,2025-09-17 23:27:20.188423+00,3,Wednesday,23,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3137,2025-09-17 23:27:20.189226+00,3,Wednesday,23,2025-09-17 00:00:00+00
730,Counter-Strike 2,713976,2025-09-17 23:32:20.244376+00,3,Wednesday,23,2025-09-17 00:00:00+00
271590,GTA V,35719,2025-09-17 23:32:20.246567+00,3,Wednesday,23,2025-09-17 00:00:00+00
570,Dota 2,429978,2025-09-17 23:32:20.251321+00,3,Wednesday,23,2025-09-17 00:00:00+00
440,Team Fortress 2,35659,2025-09-17 23:32:20.253816+00,3,Wednesday,23,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3109,2025-09-17 23:32:20.318642+00,3,Wednesday,23,2025-09-17 00:00:00+00
570,Dota 2,414156,2025-09-17 23:37:20.237742+00,3,Wednesday,23,2025-09-17 00:00:00+00
271590,GTA V,34860,2025-09-17 23:37:20.240215+00,3,Wednesday,23,2025-09-17 00:00:00+00
730,Counter-Strike 2,679262,2025-09-17 23:37:20.248549+00,3,Wednesday,23,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3109,2025-09-17 23:37:20.263256+00,3,Wednesday,23,2025-09-17 00:00:00+00
440,Team Fortress 2,35806,2025-09-17 23:37:20.270335+00,3,Wednesday,23,2025-09-17 00:00:00+00
730,Counter-Strike 2,679262,2025-09-17 23:42:20.326448+00,3,Wednesday,23,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3109,2025-09-17 23:42:20.331501+00,3,Wednesday,23,2025-09-17 00:00:00+00
570,Dota 2,414156,2025-09-17 23:42:20.33284+00,3,Wednesday,23,2025-09-17 00:00:00+00
440,Team Fortress 2,35806,2025-09-17 23:42:20.335265+00,3,Wednesday,23,2025-09-17 00:00:00+00
271590,GTA V,34860,2025-09-17 23:42:20.33656+00,3,Wednesday,23,2025-09-17 00:00:00+00
730,Counter-Strike 2,679262,2025-09-17 23:47:20.332944+00,3,Wednesday,23,2025-09-17 00:00:00+00
570,Dota 2,414156,2025-09-17 23:47:20.340589+00,3,Wednesday,23,2025-09-17 00:00:00+00
440,Team Fortress 2,35806,2025-09-17 23:47:20.341401+00,3,Wednesday,23,2025-09-17 00:00:00+00
271590,GTA V,34860,2025-09-17 23:47:20.344949+00,3,Wednesday,23,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3109,2025-09-17 23:47:20.478257+00,3,Wednesday,23,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3109,2025-09-17 23:52:20.405495+00,3,Wednesday,23,2025-09-17 00:00:00+00
730,Counter-Strike 2,671575,2025-09-17 23:52:20.407204+00,3,Wednesday,23,2025-09-17 00:00:00+00
570,Dota 2,406217,2025-09-17 23:52:20.415238+00,3,Wednesday,23,2025-09-17 00:00:00+00
440,Team Fortress 2,36092,2025-09-17 23:52:20.427439+00,3,Wednesday,23,2025-09-17 00:00:00+00
